"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250429,2025-04-29,13874C,CME ,00,138 ,   66132,   52012,   62225,       0,   11914,     387,       0,       0,    2777,       0,       0,       0,       0,   63926,   65389,    2206,     743,    -254,    1650,    -385,       0,   -1902,       0,       0,       0,     182,       0,       0,       0,       0,    -252,    -203,      -2,     -51,  100.0,   78.6,   94.1,    0.0,   18.0,    0.6,    0.0,    0.0,    4.2,    0.0,    0.0,    0.0,    0.0,   96.7,   98.9,    3.3,    1.1,     26,      9,      7,      0,      6,.,      0,      0,.,      0,      0,      0,      0,     15,     11,    77.3,    73.3,    91.4,    96.2,    77.3,    73.3,    91.4,    96.2,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250422,2025-04-22,13874C,CME ,00,138 ,   66386,   50362,   62610,       0,   13816,     387,       0,       0,    2595,       0,       0,       0,       0,   64178,   65592,    2208,     794,    -502,     272,    -469,       0,    -705,       0,       0,       0,      40,       0,       0,       0,       0,    -433,    -429,     -69,     -73,  100.0,   75.9,   94.3,    0.0,   20.8,    0.6,    0.0,    0.0,    3.9,    0.0,    0.0,    0.0,    0.0,   96.7,   98.8,    3.3,    1.2,     26,      9,      7,      0,      6,.,      0,      0,.,      0,      0,      0,      0,     15,     11,    74.5,    73.0,    90.2,    96.2,    74.5,    73.0,    90.2,    96.2,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250415,2025-04-15,13874C,CME ,00,138 ,   66888,   50090,   63079,       0,   14521,     387,       0,       0,    2555,       0,       0,       0,       0,   64611,   66021,    2277,     867,   -2307,     516,   -1520,       0,   -2437,       0,       0,       0,      44,       0,       0,       0,       0,   -1921,   -1476,    -386,    -831,  100.0,   74.9,   94.3,    0.0,   21.7,    0.6,    0.0,    0.0,    3.8,    0.0,    0.0,    0.0,    0.0,   96.6,   98.7,    3.4,    1.3,     27,      9,      7,      0,      7,.,      0,      0,.,      0,      0,      0,      0,     16,     11,    72.0,    72.3,    89.1,    96.2,    72.0,    72.3,    89.1,    96.2,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250408,2025-04-08,13874C,CME ,00,138 ,   69195,   49574,   64599,       0,   16958,     387,       0,       0,    2511,       0,       0,       0,       0,   66532,   67497,    2663,    1698,   -6276,    1722,   -4854,       0,   -6495,       0,       0,    -849,    -890,       0,       0,       0,       0,   -5622,   -5744,    -654,    -532,  100.0,   71.6,   93.4,    0.0,   24.5,    0.6,    0.0,    0.0,    3.6,    0.0,    0.0,    0.0,    0.0,   96.2,   97.5,    3.8,    2.5,     32,      9,      7,      0,     11,.,      0,      0,      4,      0,      0,      0,      0,     20,     12,    69.4,    72.1,    85.4,    95.2,    69.4,    72.1,    85.4,    95.2,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250401,2025-04-01,13874C,CME ,00,138 ,   75471,   47852,   69453,       0,   23453,     387,       0,     849,    3401,       0,       0,       0,       0,   72154,   73241,    3317,    2230,     228,      44,   -1371,       0,    1035,    -105,       0,      12,      90,       0,       0,       0,       0,    1091,   -1386,    -863,    1614,  100.0,   63.4,   92.0,    0.0,   31.1,    0.5,    0.0,    1.1,    4.5,    0.0,    0.0,    0.0,    0.0,   95.6,   97.0,    4.4,    3.0,     35,      9,      7,      0,     12,.,      0,.,      4,      0,      0,      0,      0,     23,     12,    65.4,    68.1,    82.1,    93.8,    65.4,    68.1,    82.1,    93.8,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250325,2025-03-25,13874C,CME ,00,138 ,   75243,   47808,   70824,       0,   22418,     492,       0,     837,    3311,       0,       0,       0,       0,   71063,   74627,    4180,     616,   -8271,    6660,    5929,  -15255,    -520,       0,       0,     212,    1327,     -74,       0,       0,       0,   -8977,   -8073,     706,    -198,  100.0,   63.5,   94.1,    0.0,   29.8,    0.7,    0.0,    1.1,    4.4,    0.0,    0.0,    0.0,    0.0,   94.4,   99.2,    5.6,    0.8,     38,      9,      7,      0,     14,.,      0,.,      5,      0,      0,      0,      0,     25,     13,    62.9,    68.3,    79.6,    95.8,    62.9,    68.3,    79.6,    95.8,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,13874C,CME ,00,138 ,   83514,   41148,   64895,   15255,   22938,     492,       0,     625,    1984,      74,       0,       0,       0,   80040,   82700,    3474,     814,   19170,    8829,    5297,   13255,   -1533,       0,       0,    -538,     541,     -76,       0,       0,       0,   19937,   19017,    -767,     153,  100.0,   49.3,   77.7,   18.3,   27.5,    0.6,    0.0,    0.7,    2.4,    0.1,    0.0,    0.0,    0.0,   95.8,   99.0,    4.2,    1.0,     34,      9,      6,      6,     14,.,      0,.,.,.,      0,      0,      0,     28,     14,    59.9,    65.2,    78.6,    95.2,    54.7,    57.5,    66.5,    79.6,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,13874C,CME ,00,138 ,   64344,   32319,   59598,    2000,   24471,     492,       0,    1163,    1443,     150,       0,       0,       0,   60103,   63683,    4241,     661,   -7516,   -1304,   -6687,    2000,   -7749,   -2087,       0,    -986,    -244,    -199,       0,       0,       0,   -8238,   -7217,     722,    -299,  100.0,   50.2,   92.6,    3.1,   38.0,    0.8,    0.0,    1.8,    2.2,    0.2,    0.0,    0.0,    0.0,   93.4,   99.0,    6.6,    1.0,     35,      9,      6,.,     13,.,      0,.,.,.,      0,      0,      0,     26,     11,    56.7,    78.1,    78.1,    96.7,    56.7,    78.1,    76.1,    94.4,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,13874C,CME ,00,138 ,   71860,   33623,   66285,       0,   32220,    2579,       0,    2149,    1687,     349,       0,       0,       0,   68341,   70900,    3519,     960,     299,   -1853,    1885,       0,    2381,       0,       0,     -15,       2,       0,       0,       0,       0,     513,    1887,    -214,   -1588,  100.0,   46.8,   92.2,    0.0,   44.8,    3.6,    0.0,    3.0,    2.3,    0.5,    0.0,    0.0,    0.0,   95.1,   98.7,    4.9,    1.3,     42,      7,      7,      0,     18,.,      0,      5,.,.,      0,      0,      0,     31,     12,    51.5,    78.3,    72.7,    95.6,    51.5,    78.3,    72.7,    95.6,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250225,2025-02-25,13874C,CME ,00,138 ,   71561,   35476,   64400,       0,   29839,    2579,       0,    2164,    1685,     349,       0,       0,       0,   67828,   69013,    3733,    2548,    1588,    -700,     125,       0,    2369,    -667,       0,    -206,      92,       0,       0,       0,       0,    1463,    -450,     125,    2038,  100.0,   49.6,   90.0,    0.0,   41.7,    3.6,    0.0,    3.0,    2.4,    0.5,    0.0,    0.0,    0.0,   94.8,   96.4,    5.2,    3.6,     42,      7,      7,      0,     18,.,      0,      5,.,.,      0,      0,      0,     31,     12,    54.3,    75.7,    73.5,    93.2,    54.3,    75.7,    73.5,    93.2,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250218,2025-02-18,13874C,CME ,00,138 ,   69973,   36176,   64275,       0,   27470,    3246,       0,    2370,    1593,     349,       0,       0,       0,   66365,   69463,    3608,     510,    1303,    1147,    -763,       0,     200,    2395,       0,      41,     139,       0,       0,       0,       0,    1388,    1771,     -85,    -468,  100.0,   51.7,   91.9,    0.0,   39.3,    4.6,    0.0,    3.4,    2.3,    0.5,    0.0,    0.0,    0.0,   94.8,   99.3,    5.2,    0.7,     43,      7,      7,      0,     17,.,      0,      6,.,.,      0,      0,      0,     31,     13,    55.7,    77.6,    75.4,    95.3,    55.7,    77.6,    75.4,    95.3,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250211,2025-02-11,13874C,CME ,00,138 ,   68670,   35029,   65038,       0,   27270,     851,       0,    2329,    1454,     349,       0,       0,       0,   64977,   67692,    3693,     978,   -2102,    2942,   -2092,       0,   -4880,     -37,       0,      45,      35,       0,       0,       0,       0,   -1893,   -2094,    -209,      -8,  100.0,   51.0,   94.7,    0.0,   39.7,    1.2,    0.0,    3.4,    2.1,    0.5,    0.0,    0.0,    0.0,   94.6,   98.6,    5.4,    1.4,     43,      7,      8,      0,     17,.,      0,      6,.,.,      0,      0,      0,     31,     13,    55.1,    79.9,    75.1,    95.4,    55.1,    79.9,    75.1,    95.3,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250204,2025-02-04,13874C,CME ,00,138 ,   70772,   32087,   67130,       0,   32150,     888,       0,    2284,    1419,     349,       0,       0,       0,   66870,   69786,    3902,     986,     416,    1107,     682,       0,    -887,       0,       0,     245,    -259,       0,       0,       0,       0,     465,     423,     -49,      -7,  100.0,   45.3,   94.9,    0.0,   45.4,    1.3,    0.0,    3.2,    2.0,    0.5,    0.0,    0.0,    0.0,   94.5,   98.6,    5.5,    1.4,     44,      6,      9,      0,     18,.,      0,      6,.,.,      0,      0,      0,     31,     14,    53.2,    76.7,    76.2,    94.6,    53.2,    76.7,    76.2,    94.5,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250128,2025-01-28,13874C,CME ,00,138 ,   70356,   30980,   66448,       0,   33037,     888,       0,    2039,    1678,     349,       0,       0,       0,   66405,   69363,    3951,     993,    2691,      89,    1831,       0,    1820,     584,       0,     826,     437,     -74,       0,       0,       0,    2661,    2778,      30,     -87,  100.0,   44.0,   94.4,    0.0,   47.0,    1.3,    0.0,    2.9,    2.4,    0.5,    0.0,    0.0,    0.0,   94.4,   98.6,    5.6,    1.4,     45,      6,      9,      0,     19,.,      0,      5,      4,.,      0,      0,      0,     31,     15,    52.3,    76.6,    75.5,    94.1,    52.3,    76.6,    75.5,    94.1,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250121,2025-01-21,13874C,CME ,00,138 ,   67665,   30891,   64617,       0,   31217,     304,       0,    1213,    1241,     423,       0,       0,       0,   63744,   66585,    3921,    1080,     979,      12,    1873,       0,     408,    -824,       0,     165,    -211,       0,       0,       0,       0,     585,     838,     394,     141,  100.0,   45.7,   95.5,    0.0,   46.1,    0.4,    0.0,    1.8,    1.8,    0.6,    0.0,    0.0,    0.0,   94.2,   98.4,    5.8,    1.6,     40,      6,      9,      0,     18,.,      0,.,.,.,      0,      0,      0,     28,     13,    53.7,    78.2,    78.3,    95.0,    53.7,    78.2,    78.3,    95.0,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250114,2025-01-14,13874C,CME ,00,138 ,   66686,   30879,   62744,       0,   30809,    1128,       0,    1048,    1452,     423,       0,       0,       0,   63159,   65747,    3527,     939,    1721,    -634,     561,       0,    5113,     910,       0,       0,     157,       0,       0,       0,       0,    4479,    1628,   -2758,      93,  100.0,   46.3,   94.1,    0.0,   46.2,    1.7,    0.0,    1.6,    2.2,    0.6,    0.0,    0.0,    0.0,   94.7,   98.6,    5.3,    1.4,     41,      6,      9,      0,     17,.,      0,.,      4,.,      0,      0,      0,     27,     15,    54.5,    78.5,    79.8,    93.7,    54.5,    78.5,    79.8,    93.7,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",250107,2025-01-07,13874C,CME ,00,138 ,   64965,   31513,   62183,       0,   25696,     218,       0,    1048,    1295,     423,       0,       0,       0,   58680,   64119,    6285,     846,    2372,   -5560,    2496,       0,    4739,       0,       0,    -103,     -22,       0,       0,       0,       0,    -924,    2474,    3296,    -102,  100.0,   48.5,   95.7,    0.0,   39.6,    0.3,    0.0,    1.6,    2.0,    0.7,    0.0,    0.0,    0.0,   90.3,   98.7,    9.7,    1.3,     38,      6,      8,      0,     17,.,      0,.,.,.,      0,      0,      0,     27,     12,    55.2,    78.7,    75.5,    96.3,    55.2,    78.7,    75.5,    96.3,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P HEALTH CARE INDEX - CHICAGO MERCANTILE EXCHANGE",250610,2025-06-10,13874E,CME ,00,138 ,   19923,    5733,   14396,       0,   11463,    1299,     223,     232,     825,       0,       0,    1746,      37,   17688,   18526,    2235,    1397,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,  100.0,   28.8,   72.3,    0.0,   57.5,    6.5,    1.1,    1.2,    4.1,    0.0,    0.0,    8.8,    0.2,   88.8,   93.0,   11.2,    7.0,     20,.,      5,      0,      6,.,.,.,.,      0,      0,.,.,     10,     12,    74.1,    67.5,    87.5,    86.5,    74.1,    67.5,    86.4,    86.3,"($100 x S&P Select Sector Health Care Index price)","13874E","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250429,2025-04-29,13874H,CME ,00,138 ,   14619,    9810,    6566,       0,    3971,    5606,       0,       0,    1312,       0,       0,       0,       0,   13781,   13484,     838,    1135,     -24,     -44,      10,       0,      31,    -119,       0,       0,     120,       0,       0,       0,       0,     -13,      11,     -11,     -35,  100.0,   67.1,   44.9,    0.0,   27.2,   38.3,    0.0,    0.0,    9.0,    0.0,    0.0,    0.0,    0.0,   94.3,   92.2,    5.7,    7.8,     21,      6,      4,      0,.,      5,      0,      0,      4,      0,      0,      0,      0,      8,     13,    82.8,    62.7,    94.3,    82.4,    82.8,    62.7,    94.3,    82.4,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250422,2025-04-22,13874H,CME ,00,138 ,   14643,    9854,    6556,       0,    3940,    5725,       0,       0,    1192,       0,       0,       0,       0,   13794,   13473,     849,    1170,      72,     -16,       5,       0,       0,      27,       0,       0,    -215,       0,       0,       0,       0,     -16,    -183,      88,     255,  100.0,   67.3,   44.8,    0.0,   26.9,   39.1,    0.0,    0.0,    8.1,    0.0,    0.0,    0.0,    0.0,   94.2,   92.0,    5.8,    8.0,     21,      6,      4,      0,.,      5,      0,      0,      4,      0,      0,      0,      0,      8,     13,    82.5,    62.5,    94.2,    81.6,    82.5,    62.5,    94.2,    81.6,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250415,2025-04-15,13874H,CME ,00,138 ,   14571,    9870,    6551,       0,    3940,    5698,       0,       0,    1407,       0,       0,       0,       0,   13810,   13656,     761,     915,    1660,   -1029,    2247,       0,    2710,    -278,       0,       0,     -87,       0,       0,       0,       0,    1681,    1882,     -21,    -222,  100.0,   67.7,   45.0,    0.0,   27.0,   39.1,    0.0,    0.0,    9.7,    0.0,    0.0,    0.0,    0.0,   94.8,   93.7,    5.2,    6.3,     22,      6,      4,      0,.,      5,      0,      0,      5,      0,      0,      0,      0,      8,     14,    82.9,    62.6,    94.8,    81.8,    82.9,    62.6,    94.8,    81.8,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250408,2025-04-08,13874H,CME ,00,138 ,   12911,   10899,    4304,       0,    1230,    5976,       0,       0,    1494,       0,       0,       0,       0,   12129,   11774,     782,    1137,    -353,    2208,      90,       0,   -2500,     -66,       0,       0,    -550,       0,       0,       0,       0,    -292,    -526,     -61,     173,  100.0,   84.4,   33.3,    0.0,    9.5,   46.3,    0.0,    0.0,   11.6,    0.0,    0.0,    0.0,    0.0,   93.9,   91.2,    6.1,    8.8,     21,      8,.,      0,.,      5,      0,      0,      4,      0,      0,      0,      0,      9,     12,    78.7,    62.7,    92.3,    81.3,    78.7,    62.7,    92.3,    81.3,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250401,2025-04-01,13874H,CME ,00,138 ,   13264,    8691,    4214,       0,    3730,    6042,       0,       0,    2044,       0,       0,       0,       0,   12421,   12300,     843,     964,   -1712,   -1964,      38,       0,       0,   -2296,       0,       0,     480,       0,       0,       0,       0,   -1964,   -1778,     252,      66,  100.0,   65.5,   31.8,    0.0,   28.1,   45.6,    0.0,    0.0,   15.4,    0.0,    0.0,    0.0,    0.0,   93.6,   92.7,    6.4,    7.3,     21,      8,.,      0,.,      5,      0,      0,      4,      0,      0,      0,      0,      9,     12,    77.9,    60.9,    91.8,    82.6,    77.9,    60.9,    91.8,    82.6,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250325,2025-03-25,13874H,CME ,00,138 ,   14976,   10655,    4176,       0,    3730,    8338,       0,       0,    1564,       0,       0,       0,       0,   14385,   14078,     591,     898,   -6520,    1373,    1272,   -9136,    1600,    1811,       0,       0,     -59,    -206,       0,       0,       0,   -6369,   -6318,    -151,    -202,  100.0,   71.1,   27.9,    0.0,   24.9,   55.7,    0.0,    0.0,   10.4,    0.0,    0.0,    0.0,    0.0,   96.1,   94.0,    3.9,    6.0,     23,      7,.,      0,.,      7,      0,      0,      5,      0,      0,      0,      0,      8,     15,    83.5,    59.1,    96.1,    80.3,    83.5,    59.1,    96.1,    80.3,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250318,2025-03-18,13874H,CME ,00,138 ,   21496,    9282,    2904,    9136,    2130,    6527,       0,       0,    1623,     206,       0,       0,       0,   20754,   20396,     742,    1100,    4283,     947,   -2991,    9136,   -6243,      44,       0,       0,     201,     206,       0,       0,       0,    4046,    6596,     237,   -2313,  100.0,   43.2,   13.5,   42.5,    9.9,   30.4,    0.0,    0.0,    7.6,    1.0,    0.0,    0.0,    0.0,   96.5,   94.9,    3.5,    5.1,     26,      7,      6,      7,.,      6,      0,      0,      5,.,      0,      0,      0,     12,     22,    67.6,    55.0,    91.4,    72.5,    49.8,    29.5,    53.1,    39.8,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250311,2025-03-11,13874H,CME ,00,138 ,   17213,    8335,    5895,       0,    8373,    6483,       0,       0,    1422,       0,       0,       0,       0,   16708,   13800,     505,    3413,    2075,    2286,   -1986,       0,       0,    2222,       0,       0,    -629,       0,       0,       0,       0,    2286,    -393,    -211,    2468,  100.0,   48.4,   34.2,    0.0,   48.6,   37.7,    0.0,    0.0,    8.3,    0.0,    0.0,    0.0,    0.0,   97.1,   80.2,    2.9,   19.8,     22,      6,      4,      0,.,      6,      0,      0,      4,      0,      0,      0,      0,      8,     14,    81.0,    56.6,    97.1,    69.5,    81.0,    56.6,    97.1,    69.5,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
"E-MINI S&P MATERIALS INDEX - CHICAGO MERCANTILE EXCHANGE",250304,2025-03-04,13874H,CME ,00,138 ,   15138,    6049,    7881,       0,    8373,    4261,       0,       0,    2051,       0,       0,       0,       0,   14422,   14193,     716,     945,   -1159,    -144,   -1069,       0,   -1077,      20,       0,       0,    -144,       0,       0,       0,       0,   -1221,   -1193,      62,      34,  100.0,   40.0,   52.1,    0.0,   55.3,   28.1,    0.0,    0.0,   13.5,    0.0,    0.0,    0.0,    0.0,   95.3,   93.8,    4.7,    6.2,     22,      6,      4,      0,.,      6,      0,      0,      4,      0,      0,      0,      0,      8,     14,    80.9,    64.8,    95.3,    81.9,    80.9,    64.8,    95.3,    81.9,"($100 x S&P Select Sector Materials Index price)","13874H","CME ","138 ","F20","FutOnly"
